문서제목	클래스·메소드
시스템명	장비시뮬레이션 가시화 프로그램
패키지(확장)	morph.lam_control_1
작성 기준	source/extensions/morph.lam_control_1/morph/lam_control_1/
관련 웹 연동	sk.hyview_messaging (lam_handler.py, lam_sim_bridge.py)
정리 방식	클래스 1행 · 동일 클래스 메소드는 「메소드 요약」 열에 통합 (A안)

클래스 ID	클래스명	패키지	파일	메소드 요약
LamControlExtension	LAM Control 확장 진입점	morph.lam_control_1.extension	extension.py	[on_startup] 확장 시작 처리 | 입력: ext_id | 로직: 싱글톤·메인 디스패치 초기화, Registry/Scheduler/Evaluator 생성, LamWindow 생성, 듀얼 뷰포트 선적용(옵션), Master USD 자동 로드 예약 | 출력: 없음 // [on_shutdown] 확장 종료 처리 | 입력: 없음 | 로직: 재생 정지, 뷰포트 해제, 세션·싱글톤 정리 | 출력: 없음
LamWindow	LAM Multi-USD 로드·통합 제어 창	morph.lam_control_1.lam_window	lam_window.py	[__init__] 메인 창 초기화 | 입력: ext | 로직: USD 로드 UI, 화면별 CSV 시뮬 창 참조, Viewport HUD 연결 | 출력: 없음 // [run_master_autoload_now] Master USD 자동 로드 | 입력: 없음 | 로직: 화면1 Master Stage 로드, 화면2 composed USD hydrate 트리거 | 출력: 없음 // [_ensure_csv_sim_play_window] 화면별 CSV 창 확보 | 입력: screen | 로직: 화면1/2 LamSimulationCsvPlayWindow 인스턴스 생성·반환 | 출력: LamSimulationCsvPlayWindow // [sync_csv_viewport_overlays_for_screen] 화면별 오버레이 동기화 | 입력: screen | 로직: FOUP/웨이퍼·디바이스 라벨·탑뷰 체크박스 → 3D 오버레이 반영 | 출력: 없음
LamSimulationCsvPlayWindow	LAM CSV 시뮬 재생 창	morph.lam_control_1.simulation_play	simulation_play.py	[_on_play_clicked] CSV 재생 시작 | 입력: UI 상태 | 로직: runtime 갱신 → 프리런 → preflight → run_simulation_from_csv. 분기: 일시정지 이어서, 공정만보기 | 출력: 없음 // [_on_csv_pause_clicked] 일시정지 | 로직: checkpoint 저장·worker stop, 화면별 독립 | 출력: 없음 // [_on_csv_stop_reset_clicked] 정지(초기화) | 입력: on_complete | 로직: worker join 후 TBS/visibility/카메라 복원 | 출력: 없음 // [_on_live_process_only_changed] 공정만보기 실시간 전환 | 로직: 백그라운드 pause·checkpoint·모드 전환 재개 | 출력: 없음 // [_run_aux_screen_play_preflight] 화면2+ Play 전처리 | 로직: 카메라 fly, prim hide | 출력: bool // [_apply_schedule_row_highlight] 타임라인 행 강조 | 로직: 재생 중 JSON 실행 행 녹색 표시 | 출력: 없음
(모듈) simulation_play	CSV 시뮬 재생 엔진	morph.lam_control_1.simulation_play	simulation_play.py	[run_simulation_from_csv] CSV 기반 시뮬 실행 | 로직: dwell+JSON 블록 스케줄. process_only 시 idle 점프 | 출력: 없음 // [run_csv_timed_playback] 시간 기반 재생 | 로직: 블록별 worker 또는 공정만보기 | 출력: 없음 // [save_csv_play_pause_checkpoint] 일시정지 체크포인트 | 출력: CsvPlayPauseCheckpoint // [request_stop_csv_playback] 재생 중지 요청 | 로직: stop_event, runner stop | 출력: 없음 // [build_and_cache_from_dwells] dwell → 재생 캐시 | 출력: CachedCsvPlayback
(모듈) lam_federation_pipeline	Federation API → 파싱·프리런·재생	morph.lam_control_1.lam_federation_pipeline	lam_federation_pipeline.py	[run_federation_start_simulation] 웹/API 전체 시뮬 시작 | 로직: normalize_configs → visibility → fetch(has_next) → 파싱·프리런·자동 재생 | 출력: on_complete // [run_federation_response_simulation] JSON 파싱·시뮬(fetch 없음) | 출력: on_complete // [_process_merged_response] 병합 응답 처리 | 출력: ScreenPipelineResult // [_start_federation_playback] Federation 재생 기동 | 출력: Optional[str] // [_process_one_screen] 화면 단위 fetch+처리 | 출력: ScreenPipelineResult
(모듈) lam_federation_client	Federation HTTP 클라이언트	morph.lam_control_1.lam_federation_client	lam_federation_client.py	[fetch_federation_pages] 페이지네이션 전체 fetch | 로직: POST 반복, has_next=false까지 rows 병합 | 출력: (merged, meta) // [fetch_single_post] 단일 POST | 로직: 1회 요청 | 출력: (status, data, raw)
LamFederationTestWindow	LAM Federation API 테스트 창	morph.lam_control_1.lam_federation_test_window	lam_federation_test_window.py	[_on_fetch_all] 전체 fetch | 로직: fetch_federation_pages, 편집기 반영 | 출력: 없음 // [_on_parse_sim] 파싱·시뮬 | 로직: run_federation_response_simulation(웹과 동일 재생 경로) | 출력: on_complete 로그
LamHandler	LAM HyView T2V 핸들러	sk.hyview_messaging.extension_handlers.lam_handler	lam_handler.py	[_on_req_start_simulation] T2V 시뮬 시작 수신 | 입력: event.payload.configs | 로직: handle_start_simulation 위임 | 출력: V2T dispatch
(모듈) lam_sim_bridge	LAM Kit 시뮬 브리지	sk.hyview_messaging.lam_sim_bridge	lam_sim_bridge.py	[handle_start_simulation] Kit 시뮬 브리지 | 로직: run_federation_start_simulation → V2T 응답 | 출력: V2T envelope
CsvPlayScreenSession / CsvScreenRuntime	화면별 CSV 재생 세션·뷰포트 런타임	morph.lam_control_1.lam_csv_play_screen / lam_csv_screen_runtime	lam_csv_play_screen.py / lam_csv_screen_runtime.py	[csv_play_screen_session] 화면 세션 조회 | 로직: 화면1·2 독립 stop/pause/progress | 출력: CsvPlayScreenSession // [run_csv_screen_play_preflight] 화면2+ preflight | 로직: 카메라 fly, prim hide | 출력: bool // [sync_csv_screen_overlays] 화면별 오버레이 sync | 로직: 3D 라벨·탑뷰·prim hide 반영 | 출력: 없음
