문서제목	프로그램 명세서
시스템명	장비시뮬레이션 가시화 프로그램
패키지(확장)	morph.lam_control_1
작성 기준	source/extensions/morph.lam_control_1/morph/lam_control_1/
관련 웹 연동	sk.hyview_messaging (lam_handler.py, lam_sim_bridge.py)
정리 방식	메소드 1행 · 9열 (업무분류~출력데이터) · 탭 구분 엑셀 붙여넣기
DB/저장	RDB 미사용. Federation·프리런은 data/api_queries/, data/csv_prerun/ JSON 파일. API는 Federation REST·HyView T2V/V2T.

업무분류	패키지	class id	class 명	메소드 id	메소드명	입력 데이터	메소드 설명 및 로직	출력데이터
확장 진입	morph.lam_control_1.extension	LamControlExtension	LAM Control 확장 진입점	on_startup	확장 시작 처리	ext_id: str	[기본] 싱글톤·메인 디스패치 초기화 → Registry/Scheduler/Evaluator 생성 → LamWindow 생성 → 듀얼 뷰포트 선적용(옵션) → Master USD 자동 로드 예약. [분기] 듀얼 뷰포트 옵션 ON/OFF. [예외] 단계별 실패 시 로그 후 해당 단계 스킵. [DB] 미사용.	없음
확장 진입	morph.lam_control_1.extension	LamControlExtension	LAM Control 확장 진입점	on_shutdown	확장 종료 처리	없음	[기본] 재생 정지 → 뷰포트 해제 → 세션·싱글톤 정리. [DB] 미사용.	없음
Master USD 관리	morph.lam_control_1.lam_window	LamWindow	LAM Multi-USD 로드·통합 제어 창	__init__	메인 창 초기화	ext: Any	[기본] USD 로드 UI 구성, 화면별 CSV 시뮬 창 참조, Viewport HUD 연결. [DB] 미사용.	없음
Master USD 관리	morph.lam_control_1.lam_window	LamWindow	LAM Multi-USD 로드·통합 제어 창	run_master_autoload_now	Master USD 자동 로드	없음	[기본] 화면1 Master Stage 로드 → 화면2 composed USD hydrate 트리거. [DB] 미사용(USD 파일 오픈).	없음
CSV 시뮬 재생	morph.lam_control_1.lam_window	LamWindow	LAM Multi-USD 로드·통합 제어 창	_ensure_csv_sim_play_window	화면별 CSV 창 확보	screen: int	[기본] 화면1/2 LamSimulationCsvPlayWindow 인스턴스 생성·반환. [분기] 기존 인스턴스 있으면 재사용. [DB] 미사용.	LamSimulationCsvPlayWindow
CSV 시뮬 재생	morph.lam_control_1.lam_window	LamWindow	LAM Multi-USD 로드·통합 제어 창	sync_csv_viewport_overlays_for_screen	화면별 오버레이 동기화	screen: int	[기본] FOUP/웨이퍼·디바이스 라벨·탑뷰 등 체크박스 → 3D 오버레이 반영. [DB] 미사용.	없음
CSV 시뮬 재생	morph.lam_control_1.simulation_play	LamSimulationCsvPlayWindow	LAM CSV 시뮬 재생 창	_on_play_clicked	CSV 재생 시작	없음(UI 상태)	[기본] runtime 갱신 → 프리런(캐시) → 화면별 preflight(카메라 fly·prim hide) → run_simulation_from_csv. [분기] 일시정지 이어서 / 공정만보기(배속 1x). [예외] 화면2 runtime 미준비 시 중단. [DB] 미사용(프리런 JSON 파일 캐시 가능).	없음
CSV 시뮬 재생	morph.lam_control_1.simulation_play	LamSimulationCsvPlayWindow	LAM CSV 시뮬 재생 창	_on_csv_pause_clicked	일시정지	없음	[기본] 백그라운드에서 checkpoint 저장·worker stop. 화면별 독립. [DB] 미사용(메모리 세션).	없음
CSV 시뮬 재생	morph.lam_control_1.simulation_play	LamSimulationCsvPlayWindow	LAM CSV 시뮬 재생 창	_on_csv_stop_reset_clicked	정지(초기화)	on_complete: Optional[Callable]	[기본] worker join 후 TBS/visibility/카메라 복원. [분기] on_complete는 화면 전환 완료 신호용. [DB] 미사용.	없음
CSV 시뮬 재생	morph.lam_control_1.simulation_play	LamSimulationCsvPlayWindow	LAM CSV 시뮬 재생 창	_on_live_process_only_changed	공정만보기 실시간 전환	없음	[기본] UI 즉시 반환 → 백그라운드 pause·checkpoint·모드 전환 재개. [분기] Federation/API 재생도 _csv_play_thread 추적. [예외] 캐시 없음 시 로그. [DB] 미사용.	없음
CSV 시뮬 재생	morph.lam_control_1.simulation_play	LamSimulationCsvPlayWindow	LAM CSV 시뮬 재생 창	_run_aux_screen_play_preflight	화면2+ Play 전처리	kit_ext	[기본] run_csv_screen_play_preflight — 카메라 fly, prim hide. [분기] fly ON 시 overlay 탑뷰 선점 방지. [DB] 미사용.	bool
CSV 시뮬 재생	morph.lam_control_1.simulation_play	LamSimulationCsvPlayWindow	LAM CSV 시뮬 재생 창	_apply_schedule_row_highlight	타임라인 행 강조	active_keys: frozenset	[기본] 재생 중 JSON 실행 행 녹색 표시. 메인 스레드 전용. [DB] 미사용.	없음
CSV 시뮬 재생	morph.lam_control_1.simulation_play	simulation_play	CSV 시뮬 재생 엔진	run_simulation_from_csv	CSV 기반 시뮬 실행	registry, scheduler, prepared, speed_scale, process_only, play_screen, resume_from_csv_sec 등	[기본] dwell+JSON 블록 스케줄 실행. [분기] process_only=True → 레인별 병렬·idle 점프. [예외] stop 요청 시 worker 조기 종료. [DB] 미사용.	없음
CSV 시뮬 재생	morph.lam_control_1.simulation_play	simulation_play	CSV 시뮬 재생 엔진	run_csv_timed_playback	시간 기반 재생	블록 목록, 배속, resume	[기본] 일반 재생(블록별 worker). [분기] 공정만보기. [DB] 미사용.	없음
CSV 시뮬 재생	morph.lam_control_1.simulation_play	simulation_play	CSV 시뮬 재생 엔진	save_csv_play_pause_checkpoint	일시정지 체크포인트 저장	csv_path, speed_scale, process_only, screen	[기본] CSV 시각·JSON 진행·실경과를 화면별 세션에 저장. [DB] 미사용(메모리).	CsvPlayPauseCheckpoint
CSV 시뮬 재생	morph.lam_control_1.simulation_play	simulation_play	CSV 시뮬 재생 엔진	request_stop_csv_playback	재생 중지 요청	screen, registry, scheduler, kit_ext	[기본] stop_event, runner stop, 화면별 MOVE/ROTATE 중지. [DB] 미사용.	없음
CSV 시뮬 재생	morph.lam_control_1.simulation_play	simulation_play	CSV 시뮬 재생 엔진	build_and_cache_from_dwells	dwell → 재생 캐시 빌드	path, dwells	[기본] API/CSV 파싱 결과를 CachedCsvPlayback으로 변환·캐시. [DB] 미사용(파일/메모리 캐시).	CachedCsvPlayback
Federation API	morph.lam_control_1.lam_federation_pipeline	lam_federation_pipeline	Federation API → 파싱·프리런·재생 파이프라인	run_federation_start_simulation	웹/API 전체 시뮬 시작	ext, payload{configs}, on_complete, limit_override 등	[기본] normalize_configs → request_screen_visibility(완료 후) → 화면별 fetch_federation_pages(has_next 루프) → _process_merged_response → 자동 재생. [분기] 화면1만/2만/동시. [예외] fetch 실패 시 code=1. [DB] 미사용. [API] Federation REST POST.	on_complete({code, message, data})
Federation API	morph.lam_control_1.lam_federation_pipeline	lam_federation_pipeline	Federation API → 파싱·프리런·재생 파이프라인	run_federation_response_simulation	편집기 JSON 파싱·시뮬	merged_response, body, screen 등	[기본] API 재요청 없이 로그/편집기 JSON만 파싱·재생. 테스트창 「파싱/시뮬」과 동일 재생 경로. [DB] 미사용.	on_complete
Federation API	morph.lam_control_1.lam_federation_pipeline	lam_federation_pipeline	Federation API → 파싱·프리런·재생 파이프라인	_process_merged_response	병합 응답 처리	merged, body, screen, auto_play	[기본] dwell 파싱 → prerun → 타임라인 UI → _start_federation_playback. [DB] 미사용(프리런 JSON 파일 저장 가능).	ScreenPipelineResult
Federation API	morph.lam_control_1.lam_federation_pipeline	lam_federation_pipeline	Federation API → 파싱·프리런·재생 파이프라인	_start_federation_playback	Federation 재생 기동	cached, csv_win, screen	[기본] CSV Play와 동일 preflight·콜백·run_simulation_from_csv. _prepared_playback·_csv_play_thread 연결(공정만보기 실시간 전환). [DB] 미사용.	Optional[str] 오류 메시지
Federation API	morph.lam_control_1.lam_federation_pipeline	lam_federation_pipeline	Federation API → 파싱·프리런·재생 파이프라인	_process_one_screen	화면 단위 fetch+처리	screen, body, url, limit 등	[기본] fetch_federation_pages + _process_merged_response. [DB] 미사용. [API] Federation REST.	ScreenPipelineResult
