테스트케이스명	테스트 절차	사전조건	테스트데이터	예상결과	테스트결과	비고
EBS 웹 UI 기동 및 Kit 연결	웹 EBS UI를 열고 Kit 앱(tbs_control_2)이 실행 중인지 확인한다. HyView livestream 연결 상태를 확인한다.	Kit 앱 실행; tbs_control_2 확장 활성; 웹 UI 접속 가능	없음	웹 UI가 정상 표시되고 Kit와 연결되어 case0(화면1)·case1(화면2) 제어가 가능하다.		실무 검증용. 기존 기능별 TSV와 별도 문서.
EBS 장비 적용 — Kit CASE A	Kit 「EBS제어창 CASE A」에서 EBS 적용여부 체크를 ON/OFF 한다. 화면1 Viewport 3D 모델에서 EBS 장비(IN/OUT·BP 등) prim 표시/숨김이 실시간으로 바뀌는지 확인한다.	화면1 USD 로드; CASE A 제어창 표시	caseA ebs_enabled ON → OFF → ON	체크 ON 시 EBS 버퍼·IN/OUT 관련 3D가 표시되고 OFF 시 EP 중심 구성만 보인다.		제어창·Viewport HUD 동기(있는 경우) 함께 확인.
EBS 장비 적용 — Kit CASE B	Kit 「EBS제어창 CASE B」에서 EBS 적용여부를 CASE A와 반대로 설정한다. 화면2 Viewport만 변경되고 화면1은 유지되는지 확인한다.	듀얼 화면; CASE B 제어창	caseB ebs_enabled OFF(또는 ON); caseA는 반대 값	화면2 3D만 EBS ON/OFF에 맞게 변경되고 화면1 상태는 변하지 않는다.		화면별 설정 독립.
EBS 장비 적용 — 웹 case0·case1	웹 UI에서 case0·case1 각각 EBS 적용 체크를 ON/OFF 한다. 연관 Kit Viewport(화면1·2) 3D에서 EBS 장비 장착/해제가 실시간 반영되는지 확인한다.	Kit·웹 연결; 두 Viewport 표시	 case0 ON/case1 OFF 등 교차 조합	각 웹 case에 대응하는 Viewport만 EBS prim 표시가 변경된다.		사용자 제공 예시와 동일 계열.
EBS EP 개수 — Kit CASE A	 CASE A 제어창 EP 개수 콤보를 2 ↔ 3으로 변경한다. EP3·BP4 관련 UI 행과 Viewport EP prim 개수가 맞게 바뀌는지 확인한다.	화면1 준비	caseA ep_count=2 → 3	EP=2일 때 EP1·EP2, EP=3일 때 EP3·BP4 행이 표시되고 3D EP 레이아웃이 일치한다.		
EBS EP 개수 — Kit CASE B	 CASE B에서 EP 개수를 CASE A와 다르게 설정한다. 화면2만 변경되는지 확인한다.	듀얼 화면	caseB ep_count=3; caseA ep_count=2	화면2만 EP3 구성이 적용되고 화면1은 EP2 구성을 유지한다.		
EBS EP 개수 — 웹 case0·case1	웹 UI에서 case0·case1 EP 개수(2/3)를 각각 변경한다. 해당 Viewport prim·제어창(동기 시) EP UI가 맞게 갱신되는지 확인한다.	Kit·웹 연결	 case0=2, case1=3	각 화면 EP 개수가 웹 설정과 일치한다.		
EBS LOT 수 — CASE A·B 독립	 CASE A· CASE B 각각 LOT 수를 다르게 입력한다. (예: A=5, B=10)	제어창 표시	caseA lot_count=5; caseB lot_count=10	각 제어창 LOT 수 필드가 독립 유지되며 상대 CASE 값이 바뀌지 않는다.		시뮬 시작 후 FOUP·lot 수 차이로 검증.
EBS LOT 생성 간격 — CASE A·B	 CASE A·B 각각 LOT생성간격(min~max)을 다르게 입력하고 저장 상태를 확인한다.	제어창 표시	caseA spawn 10~20초; caseB spawn 30~40초	입력값이 각 CASE에 유지된다.		
EBS 회수 간격 — CASE A·B	 CASE A·B 각각 회수간격(min~max)을 다르게 입력한다.	제어창 표시	caseA pickup 5~10초; caseB pickup 15~20초	각 CASE 필드가 독립 유지된다.		
