테스트 케이스 ID	테스트 케이스명	테스트 절차	사전조건	테스트데이터	예상결과	비고
없음	LAM 확장 시작 및 기본 UI 초기화	Kit 앱을 시작하고 lam_control_1 확장이 로드된 후 설정된 기본 창과 화면이 정상적으로 초기화되는지 확인한다.	lam_control_1 확장 활성화; 앱 설정 파일 정상	UI_SHOW_LAM_USD_WINDOW_DEFAULT; UI_SHOW_LAM_SEQUENCE_EDITOR_DEFAULT; UI_SHOW_LAM_CSV_PLAY_WINDOW_DEFAULT; FEDERATION_TEST_WINDOW_AUTO_SHOW	각 설정이 True인 창은 USD 로드 직전에 표시되고 False인 창은 리로드 후에도 표시되지 않으며 앱이 멈추지 않는다.	UI 표시 설정과 Kit chrome 숨김 설정이 충돌하지 않아야 한다.
없음	LAM 화면1 Master USD 로드	LAM Multi-USD Load 창에서 화면1 Master USD를 지정하여 로드하고 Stage와 Viewport 표시 상태를 확인한다.	유효한 화면1 USD 파일 존재	화면1 Master USD 경로	화면1 기본 USD Context의 Stage에 지정 USD가 로드되고 화면1 Viewport에 정상 표시된다.	잘못된 경로 사용 시 오류를 표시하고 앱은 계속 동작해야 한다.
없음	LAM 화면2 Composed USD 로드	화면2용 USD를 지정하여 로드하고 화면2 전용 Stage 및 Viewport에 표시되는지 확인한다.	유효한 화면2 USD 파일 및 화면2 런타임 준비	화면2 USD 경로; 화면2 표시=True	화면2 전용 USD Context의 독립 Stage에 composed USD가 로드되고 화면2 Viewport에 표시된다.	화면1 기본 Stage를 교체하거나 오염시키지 않아야 한다.
없음	LAM 듀얼 화면 독립 Stage 동작	화면1과 화면2에 각각 USD를 로드한 뒤 한 화면의 prim visibility 또는 transform을 변경하고 다른 화면 Stage 상태를 확인한다.	화면1·2 USD 로드 완료	화면1 prim 경로; 화면2 prim 경로; 서로 다른 visibility 또는 transform 값	각 화면 변경은 해당 화면의 Stage에만 반영되고 다른 화면의 동일 경로 prim 상태에는 영향을 주지 않는다.	각 화면은 별도 USD Context와 Stage를 사용한다.
없음	LAM 듀얼 Viewport 동시 표시	화면1·2 표시를 모두 활성화하고 Dock 또는 Widget 분할 상태에서 두 Viewport 렌더링을 확인한다.	듀얼 화면 런타임 및 USD 로드 완료	STARTUP_SHOW_SCREEN_1=True; STARTUP_SHOW_SCREEN_2=True	두 Viewport가 동시에 표시되고 각각 자신의 카메라와 Stage 내용을 렌더링한다.	Dock 방식과 Widget 방식은 설정에 따라 각각 확인한다.
없음	LAM 화면 표시 전환	화면1만 표시, 화면2만 표시, 화면1·2 동시 표시를 순서대로 전환한다.	화면1·2 런타임 로드 완료	show_1/show_2 조합 True/False	요청한 화면만 표시되며 숨겨진 화면의 Context와 런타임은 유지되고 다시 표시할 수 있다.	둘 다 False 요청 시 안전 정책을 확인한다.
없음	LAM Federation 서버 단일 페이지 조회	지정 URL에 POST 방식으로 body와 limit/offset을 전달하고 응답이 Kit 테스트 창으로 들어오는지 확인한다.	지정 URL의 PC hosts 등록; Federation 서버 접근 가능	fab_id; mt; eqp_id; lot_id; mt_from; mt_to; limit=50; offset=0	요청 조건과 일치하는 columns, rows, pagination 데이터가 Kit에서 조회된다.	limit 기본값은 50이며 설정으로 변경할 수 있다.
없음	LAM Federation 전체 페이지 조회	전체 fetch 또는 웹 start_simulation을 실행하고 has_next가 False가 될 때까지 offset이 자동 변경되는지 확인한다.	Federation 서버에 50건을 초과하는 조회 데이터 존재	limit=50 또는 다른 설정값; initial offset=0; has_next=True/False 응답	각 요청의 limit은 설정값으로 유지되고 offset은 응답 pagination.limit만큼 증가하며 has_next=False에서 종료되어 모든 rows가 병합된다.	limit은 고정 상수가 아니라 FEDERATION_FETCH_LIMIT 또는 테스트 UI에서 설정 가능한 페이지 크기이다.
없음	LAM Federation limit 설정 변경	FEDERATION_FETCH_LIMIT 또는 테스트 창 limit을 20, 50, 100으로 변경하여 전체 조회를 반복한다.	Federation 서버 접근 가능; 동일 조회 조건	limit=20; limit=50; limit=100	설정한 limit이 서버 요청에 반영되고 각 경우에도 offset pagination을 통해 최종 전체 행 수가 동일하다.	웹 경로는 sk.hyview_messaging의 FEDERATION_FETCH_LIMIT 설정값이 우선한다.
없음	LAM Federation 응답 데이터 파싱	전체 조회된 columns/rows를 파싱·시뮬에 전달하고 유효 행, 제외 행, 중복 통계를 확인한다.	조회 응답에 eqp_id와 필수 columns 존재	정상 행; module_nm 누락 행; cassette_slot 오류 행; 중복 행	정상 행은 ParsedCsvRow와 DwellRecord로 변환되고 오류 행은 제외되며 파싱 통계에 input, parsed, skipped, duplicates가 기록된다.	시간값은 정규화 후 시뮬레이션 기준 시간으로 사용한다.
없음	LAM 파싱 상세 로그 설정	FEDERATION_VERBOSE_PARSE_LOG를 False와 True로 각각 설정하고 동일 데이터를 파싱·시뮬한다.	동일한 Federation 응답 데이터 준비	FEDERATION_VERBOSE_PARSE_LOG=False/True	False에서는 페이지별 rows, 이벤트 JSON, Z 및 스텝 상세 로그가 억제되고 요약·오류 로그만 남으며 True에서는 상세 로그가 출력된다.	기본값 False; 로그 억제로 대량 데이터 준비 시간을 개선한다.
