테스트케이스명	테스트 절차	사전조건	테스트데이터	예상결과	테스트결과	비고
LAM 웹 UI 기동 및 Kit 연결	웹 LAM UI를 열고 Kit 앱(lam_control_1)이 실행 중인지 확인한다. 연결 상태 표시(또는 HyView livestream)가 정상인지 확인한다.	Kit 앱 실행; lam_control_1 확장 활성; 웹 UI 배포·접속 가능	없음	웹 UI가 오류 없이 표시되고 Kit와 메시징 연결이 정상임을 확인할 수 있다.		실무 검증용. 기존 기능별 TSV와 별도 문서.
LAM 조회 — SEARCH 정상 조회	웹 UI에서 FAB, EQP ID, 조회시간(시작~종료)을 입력하고 SEARCH 버튼을 클릭한다. 목록 영역에 서버 조회 결과 행이 표시되는지 확인한다.	Kit·웹 연결; Federation(또는 LAM 조회) 서버 접근 가능; 해당 조건에 맞는 데이터 존재	FAB=유효 FAB ID; EQP ID=유효 장비 ID; 조회시간=데이터가 포함된 기간	SEARCH 클릭 후 로딩 표시(있는 경우)를 거쳐 조회 목록에 eqp_id·lot_id 등 예상 컬럼의 행이 1건 이상 표시된다.		서버로 조회 요청이 발생하는 화면 동작 검증.
LAM 조회 — 조건 불일치 시 빈 목록	존재하지 않는 EQP ID 또는 데이터가 없는 조회시간으로 SEARCH를 실행한다.	Kit·웹 연결; 서버 접근 가능	FAB=유효; EQP ID=미등록 또는 빈 결과 기간; 조회시간=해당 기간	목록이 비어 있거나 「조회 결과 없음」 등 안내가 표시되며 웹 UI가 멈추거나 오류 팝업 없이 다음 조작이 가능하다.		
LAM 조회 — 필수 입력 미입력	 FAB, EQP ID, 조회시간 중 하나 이상을 비운 채 SEARCH를 클릭한다.	웹 UI 표시	각 필드별 1회씩 미입력 조합	SEARCH가 차단되거나 입력 안내가 표시되고 잘못된 요청이 서버로 나가지 않는다.		
LAM ADD — 1건 선택 후 caseA 배치	조회 목록에서 1건만 체크하고 ADD 버튼을 클릭한다. 하단 좌측 caseA 영역에 선택 행의 결과(요약) 목록이 표시되는지, 우측 caseB는 비어 있는지, 우측 하단 RUN 버튼이 활성화되는지 확인한다.	SEARCH로 목록 표시 완료	목록 1건 체크 후 ADD	caseA(좌)에만 선택 데이터가 표시되고 caseB(우)는 비어 있다. RUN 버튼이 활성화된다.		웹 UI caseA=화면1, caseB=화면2 대응.
LAM ADD — 2건 선택 시 caseA·caseB 순서 배치	조회 목록에서 서로 다른 2건을 체크 순서 A→B로 선택하고 ADD를 클릭한다. 하단 좌 caseA에 첫 번째, 우 caseB에 두 번째 선택 건의 결과 목록이 표시되는지 확인한다. RUN 버튼 활성화를 확인한다.	SEARCH로 2건 이상 표시	1번째 체크=장비A 데이터; 2번째 체크=장비B 데이터	caseA에 1번째 체크 건, caseB에 2번째 체크 건이 각각 표시되고 RUN이 활성화된다.		체크 순서=caseA→caseB 배치 순서.
LAM ADD — 최대 2건 체크 제한	목록에서 3건 이상 체크를 시도한다.	SEARCH로 3건 이상 표시	3건 연속 체크 시도	3번째 체크가 되지 않거나 안내 후 2건만 유지된다. ADD 후에도 caseA·caseB 두 영역만 사용된다.		
LAM ADD — Federation 결과 데이터 표시	ADD 클릭 후 caseA·caseB 영역에 표시된 목록 항목(장비 ID, lot, 공정 요약 등)이 SEARCH에서 선택한 행과 일치하는지 눈으로 대조한다.	유효 Federation 응답 데이터	2건 선택 ADD	각 영역 목록의 식별 정보가 선택한 조회 행과 일치한다.		Federation fetch 결과가 웹에 반영되는지 확인.
LAM ADD — 체크 해제 후 재선택	1건 ADD 후 체크를 해제하고 다른 행을 선택해 ADD를 다시 실행한다.	caseA에 1건 배치된 상태	다른 행으로 재선택 ADD	caseA(또는 해당 영역) 목록이 새 선택 건으로 갱신되고 RUN은 계속 활성화된다.		
LAM RUN — RESULT 버튼 활성화	caseA(또는 caseA·caseB)에 데이터가 ADD된 상태에서 RUN 버튼을 클릭한다. RESULT 버튼이 활성화되는지 확인한다.	ADD 완료; RUN 활성	 caseA 1건 또는 caseA+caseB 2건	RUN 클릭 후 RESULT 버튼이 활성화된다. (프리런·데이터 준비 중 로딩 표시가 있으면 완료 후 활성화)		RUN=Kit 쪽 fetch·프리런 등 준비 단계.
