테스트 케이스 ID	테스트 케이스명	테스트 절차	사전조건	테스트데이터	예상결과	비고
없음	EBS 확장 시작 및 기본 UI 초기화	Kit 앱을 시작하고 tbs_control_2 확장, 제어창, 모니터 및 듀얼 Viewport가 정상적으로 초기화되는지 확인한다.	tbs_control_2 확장 활성화; 앱 설정 파일 정상	기본 화면 표시 및 자동 USD 로드 설정	확장이 오류 없이 시작되고 설정된 창과 Viewport가 표시되며 제어 모델이 기본값으로 초기화된다.	기동 후 UI가 멈추거나 중복 생성되지 않아야 한다.
없음	EBS 화면1 Master USD 로드	EBS USD Load 창에서 화면1 장비 USD를 지정하여 로드하고 Stage와 Viewport를 확인한다.	유효한 장비 USD 파일 존재	화면1 USD 경로	화면1 기본 USD Context의 Stage에 장비 USD가 로드되고 화면1 Viewport에 정상 표시된다.	잘못된 경로 사용 시 오류를 표시하고 기존 Stage는 안전하게 유지한다.
없음	EBS 화면2 독립 USD 로드	화면2용 장비 USD를 로드하고 화면2 전용 Context와 Stage에 표시되는지 확인한다.	화면2 런타임 및 유효한 USD 파일 준비	화면2 USD 경로	화면2 독립 Stage에 USD가 로드되고 화면2 Viewport에 표시되며 화면1 Stage에는 영향을 주지 않는다.	동일 USD를 사용하더라도 Stage 인스턴스와 런타임 상태는 독립적이어야 한다.
없음	EBS 듀얼 화면 독립 Stage 동작	화면1·2 USD 로드 후 한 화면의 prim visibility, 포트 상태 또는 transform을 변경하여 다른 화면 상태를 확인한다.	두 화면 USD 로드 완료	화면별 prim 경로; 서로 다른 상태값	선택 화면 Stage에만 변경이 반영되고 다른 화면의 동일 경로 prim과 포트 상태는 유지된다.	각 화면은 별도 USD Context와 Stage를 사용한다.
없음	EBS 듀얼 Viewport 동시 표시	화면1·2 Viewport를 동시에 표시하고 각 화면 카메라와 렌더링 상태를 조작한다.	두 화면 Stage 및 Viewport 준비	화면1·2 표시=True	두 화면이 동시에 렌더링되고 한 화면 카메라 조작이 다른 화면 카메라에 영향을 주지 않는다.	Dock 방식과 Widget 방식은 적용 설정에 맞춰 확인한다.
없음	EBS EP 포트 개수 UI 변경	제어창에서 각 화면의 EP 포트 개수를 2와 3으로 변경한다.	장비 USD와 EP prim 준비	화면1 EP=2; 화면2 EP=3	각 화면의 EP 콤보, prim visibility, 포트 레이아웃과 이후 프리런 설정이 선택값에 맞게 변경된다.	화면별 설정이 독립적으로 유지되어야 한다.
없음	EBS EBS 적용 UI 변경	제어창에서 화면별 EBS 적용을 활성화·비활성화하고 포트 구성을 확인한다.	화면별 Stage 및 제어창 준비	화면1 ebs_enable=True; 화면2 ebs_enable=False	EBS 적용 화면에는 INOUT/BP 관련 흐름과 레이아웃이 적용되고 미적용 화면에는 EP 중심 구성이 적용된다.	프리런 시작 전과 시작 설정 적용 후 모두 확인한다.
없음	EBS LOT 및 공정 설정 입력	화면별 LOT 수, 생성 간격, 이동시간, 공정시간, 초기 적재 및 고장 포트를 서로 다르게 설정한다.	제어창 및 유효 입력 범위 확인	lot_count; spawn_min/max; 이동 구간 min/max; foup_proc_min/max; init 포트; fault 포트	각 화면 설정 snapshot에 입력값이 저장되고 프리런 결과가 해당 값에 따라 달라진다.	최솟값이 최댓값보다 큰 경우 등 잘못된 입력 처리도 확인한다.
없음	EBS XML 생성 및 파싱	제어창 설정을 기반으로 시뮬레이션 XML을 생성하고 다시 파싱하여 항목 일치 여부를 확인한다.	XML 생성·파싱 모듈 사용 가능	화면별 LOT·EP·EBS·시간 설정	생성 XML의 구조와 값이 설정과 일치하고 파싱 결과가 시뮬레이션 엔진 입력으로 정상 변환된다.	특수문자 및 빈 optional 값도 확인한다.
없음	EBS 화면별 프리런 실행	화면1·2 설정을 준비하고 시뮬레이션 시작을 실행하여 화면별 프리런 결과를 확인한다.	두 화면 USD·엔진·설정 준비	서로 다른 화면별 settings_snapshot	각 화면에 SimPreRunResult, timetable, seek snapshot 및 bar graph 데이터가 생성되고 완료 이벤트가 설정된다.	프리런은 실제 재생 전 전체 시뮬레이션 결과를 계산한다.
